event,timestamp_utc,timestamp_ns,pid,detail,value
INIT,2026-03-14T16:29:52Z,7711342930886,2991,activation,100PCT_INCONDITIONNELLE
INIT,2026-03-14T16:29:52Z,7711342930886,2991,modules_reels,ultra_forensic_logger_v3+memory_tracker
INIT,2026-03-14T16:29:52Z,7711342930886,2991,version,3.0_cycle17_NL03_NV01_NV02_AC01_NANO_ANOMALY
HW_SAMPLE,2026-03-14T16:29:52Z,7711342930886,2991,init:cpu_delta_pct,0.0000
HW_SAMPLE,2026-03-14T16:29:52Z,7711342930886,2991,init:mem_used_pct,62.0949
HW_SAMPLE,2026-03-14T16:29:52Z,7711342930886,2991,init:mem_total_kb,65849792
HW_SAMPLE,2026-03-14T16:29:52Z,7711342930886,2991,init:mem_avail_kb,24960444
HW_SAMPLE,2026-03-14T16:29:52Z,7711342930886,2991,init:vm_rss_kb,2432
HW_SAMPLE,2026-03-14T16:29:52Z,7711342930886,2991,init:vm_peak_kb,8856
MODULE_START,2026-03-14T16:29:52Z,7711346109036,2991,hubbard_hts_fullscale,main_campaign
MODULE_START,2026-03-14T16:29:52Z,7711347940426,2991,simulate_fs,hubbard_hts_core
METRIC,2026-03-14T16:29:52Z,7711347971026,2991,simulate_fs:sites,100.0000000000
METRIC,2026-03-14T16:29:52Z,7711348045926,2991,simulate_fs:steps,2800.0000000000
METRIC,2026-03-14T16:29:52Z,7711348085746,2991,simulate_fs:temp_K,95.0000000000
METRIC,2026-03-14T16:29:52Z,7711348115766,2991,simulate_fs:U_eV,8.0000000000
METRIC,2026-03-14T16:29:52Z,7711350756487,2991,simulate_fs:local_pair_site0_step0,0.5835096733
METRIC,2026-03-14T16:29:52Z,7711350802667,2991,simulate_fs:d_site0_step0,-0.1531025933
METRIC,2026-03-14T16:29:52Z,7711350845147,2991,simulate_fs:step_pairing_norm_step0,0.7158923070
METRIC,2026-03-14T16:29:52Z,7711350875057,2991,simulate_fs:step_energy_norm_step0,1.9745923269
MODULE_END,2026-03-14T16:29:53Z,7712768335556,2991,simulate_fs:hubbard_hts_core,1420395130
METRIC,2026-03-14T16:29:53Z,7712768399736,2991,simulate_fs:pairing_final,0.6711904864
METRIC,2026-03-14T16:29:53Z,7712768433306,2991,simulate_fs:energy_final_eV,1.9847213329
METRIC,2026-03-14T16:29:53Z,7712768463496,2991,simulate_fs:sign_ratio_final,-0.0400000000
METRIC,2026-03-14T16:29:53Z,7712768493416,2991,simulate_fs:elapsed_ns,1420438200.0000000000
MODULE_START,2026-03-14T16:29:53Z,7712768530216,2991,simulate_fs,qcd_lattice_fullscale
METRIC,2026-03-14T16:29:53Z,7712768557416,2991,simulate_fs:sites,81.0000000000
METRIC,2026-03-14T16:29:53Z,7712768587566,2991,simulate_fs:steps,2200.0000000000
METRIC,2026-03-14T16:29:53Z,7712768617386,2991,simulate_fs:temp_K,140.0000000000
METRIC,2026-03-14T16:29:53Z,7712768646916,2991,simulate_fs:U_eV,9.0000000000
METRIC,2026-03-14T16:29:53Z,7712768677436,2991,simulate_fs:local_pair_site0_step0,0.6571004364
METRIC,2026-03-14T16:29:53Z,7712768707526,2991,simulate_fs:d_site0_step0,0.0809842964
METRIC,2026-03-14T16:29:53Z,7712768744306,2991,simulate_fs:step_pairing_norm_step0,0.5799614517
METRIC,2026-03-14T16:29:53Z,7712768773716,2991,simulate_fs:step_energy_norm_step0,2.2115701842
MODULE_END,2026-03-14T16:29:55Z,7713871595967,2991,simulate_fs:qcd_lattice_fullscale,1103065751
METRIC,2026-03-14T16:29:55Z,7713871655467,2991,simulate_fs:pairing_final,0.5247243224
METRIC,2026-03-14T16:29:55Z,7713871689607,2991,simulate_fs:energy_final_eV,2.2213200609
METRIC,2026-03-14T16:29:55Z,7713871719717,2991,simulate_fs:sign_ratio_final,-0.2098765432
METRIC,2026-03-14T16:29:55Z,7713871749457,2991,simulate_fs:elapsed_ns,1103064971.0000000000
MODULE_START,2026-03-14T16:29:55Z,7713871786217,2991,simulate_fs,quantum_field_noneq
METRIC,2026-03-14T16:29:55Z,7713871818537,2991,simulate_fs:sites,64.0000000000
METRIC,2026-03-14T16:29:55Z,7713871858597,2991,simulate_fs:steps,2100.0000000000
METRIC,2026-03-14T16:29:55Z,7713871888487,2991,simulate_fs:temp_K,180.0000000000
METRIC,2026-03-14T16:29:55Z,7713871918097,2991,simulate_fs:U_eV,7.0000000000
METRIC,2026-03-14T16:29:55Z,7713871948067,2991,simulate_fs:local_pair_site0_step0,0.7018419847
METRIC,2026-03-14T16:29:55Z,7713871978747,2991,simulate_fs:d_site0_step0,0.0531072761
METRIC,2026-03-14T16:29:55Z,7713872030887,2991,simulate_fs:step_pairing_norm_step0,0.4880717565
METRIC,2026-03-14T16:29:55Z,7713872060437,2991,simulate_fs:step_energy_norm_step0,1.7132814802
MODULE_END,2026-03-14T16:29:56Z,7714932752034,2991,simulate_fs:quantum_field_noneq,1060965817
METRIC,2026-03-14T16:29:56Z,7714932844904,2991,simulate_fs:pairing_final,0.3935445535
METRIC,2026-03-14T16:29:56Z,7714932887564,2991,simulate_fs:energy_final_eV,1.7379608254
METRIC,2026-03-14T16:29:56Z,7714932917894,2991,simulate_fs:sign_ratio_final,0.4375000000
METRIC,2026-03-14T16:29:56Z,7714932947604,2991,simulate_fs:elapsed_ns,1060965187.0000000000
MODULE_START,2026-03-14T16:29:56Z,7714932994024,2991,simulate_fs,dense_nuclear_fullscale
METRIC,2026-03-14T16:29:56Z,7714933033104,2991,simulate_fs:sites,72.0000000000
METRIC,2026-03-14T16:29:56Z,7714933068484,2991,simulate_fs:steps,2100.0000000000
METRIC,2026-03-14T16:29:56Z,7714933098334,2991,simulate_fs:temp_K,80.0000000000
METRIC,2026-03-14T16:29:56Z,7714933127924,2991,simulate_fs:U_eV,11.0000000000
METRIC,2026-03-14T16:29:56Z,7714933157764,2991,simulate_fs:local_pair_site0_step0,0.9031403874
METRIC,2026-03-14T16:29:56Z,7714933187274,2991,simulate_fs:d_site0_step0,-0.0343836889
METRIC,2026-03-14T16:29:56Z,7714933224334,2991,simulate_fs:step_pairing_norm_step0,0.7243158278
METRIC,2026-03-14T16:29:56Z,7714933259414,2991,simulate_fs:step_energy_norm_step0,2.6960090986
MODULE_END,2026-03-14T16:29:57Z,7716010916862,2991,simulate_fs:dense_nuclear_fullscale,1077922838
METRIC,2026-03-14T16:29:57Z,7716011022072,2991,simulate_fs:pairing_final,0.6743245409
METRIC,2026-03-14T16:29:57Z,7716011063412,2991,simulate_fs:energy_final_eV,2.7096741851
METRIC,2026-03-14T16:29:57Z,7716011094002,2991,simulate_fs:sign_ratio_final,-0.1666666667
METRIC,2026-03-14T16:29:57Z,7716011123772,2991,simulate_fs:elapsed_ns,1077922058.0000000000
MODULE_START,2026-03-14T16:29:57Z,7716011161532,2991,simulate_fs,quantum_chemistry_fullscale
METRIC,2026-03-14T16:29:57Z,7716011189332,2991,simulate_fs:sites,56.0000000000
METRIC,2026-03-14T16:29:57Z,7716011219772,2991,simulate_fs:steps,2200.0000000000
METRIC,2026-03-14T16:29:57Z,7716011264672,2991,simulate_fs:temp_K,60.0000000000
METRIC,2026-03-14T16:29:57Z,7716011303102,2991,simulate_fs:U_eV,6.5000000000
METRIC,2026-03-14T16:29:57Z,7716011333082,2991,simulate_fs:local_pair_site0_step0,0.6439560412
METRIC,2026-03-14T16:29:57Z,7716011362662,2991,simulate_fs:d_site0_step0,0.1980566490
METRIC,2026-03-14T16:29:57Z,7716011397702,2991,simulate_fs:step_pairing_norm_step0,0.7636584703
METRIC,2026-03-14T16:29:57Z,7716011427092,2991,simulate_fs:step_energy_norm_step0,1.5927403563
MODULE_END,2026-03-14T16:29:58Z,7717241111335,2991,simulate_fs:quantum_chemistry_fullscale,1229949803
METRIC,2026-03-14T16:29:58Z,7717241181285,2991,simulate_fs:pairing_final,0.7281906189
METRIC,2026-03-14T16:29:58Z,7717241216045,2991,simulate_fs:energy_final_eV,1.6206798846
METRIC,2026-03-14T16:29:58Z,7717241246005,2991,simulate_fs:sign_ratio_final,0.2142857143
METRIC,2026-03-14T16:29:58Z,7717241275495,2991,simulate_fs:elapsed_ns,1229948933.0000000000
MODULE_START,2026-03-14T16:29:58Z,7717241312065,2991,simulate_fs,spin_liquid_exotic
METRIC,2026-03-14T16:29:58Z,7717241330425,2991,simulate_fs:sites,120.0000000000
METRIC,2026-03-14T16:29:58Z,7717241360355,2991,simulate_fs:steps,2600.0000000000
METRIC,2026-03-14T16:29:58Z,7717241389475,2991,simulate_fs:temp_K,55.0000000000
METRIC,2026-03-14T16:29:58Z,7717241418455,2991,simulate_fs:U_eV,10.5000000000
METRIC,2026-03-14T16:29:58Z,7717241447685,2991,simulate_fs:local_pair_site0_step0,0.7146239067
METRIC,2026-03-14T16:29:58Z,7717241477535,2991,simulate_fs:d_site0_step0,-0.1649450982
METRIC,2026-03-14T16:29:58Z,7717241517355,2991,simulate_fs:step_pairing_norm_step0,0.8268866814
METRIC,2026-03-14T16:29:58Z,7717241556245,2991,simulate_fs:step_energy_norm_step0,2.5946963080
MODULE_END,2026-03-14T16:29:59Z,7718587868018,2991,simulate_fs:spin_liquid_exotic,1346555953
METRIC,2026-03-14T16:29:59Z,7718587928458,2991,simulate_fs:pairing_final,0.8084310399
METRIC,2026-03-14T16:29:59Z,7718587962498,2991,simulate_fs:energy_final_eV,2.6034400942
METRIC,2026-03-14T16:29:59Z,7718587998908,2991,simulate_fs:sign_ratio_final,0.0666666667
METRIC,2026-03-14T16:29:59Z,7718588044928,2991,simulate_fs:elapsed_ns,1346555293.0000000000
MODULE_START,2026-03-14T16:29:59Z,7718588091038,2991,simulate_fs,topological_correlated_materials
METRIC,2026-03-14T16:29:59Z,7718588116528,2991,simulate_fs:sites,121.0000000000
METRIC,2026-03-14T16:29:59Z,7718588146778,2991,simulate_fs:steps,2500.0000000000
METRIC,2026-03-14T16:29:59Z,7718588176398,2991,simulate_fs:temp_K,70.0000000000
METRIC,2026-03-14T16:29:59Z,7718588205518,2991,simulate_fs:U_eV,7.8000000000
METRIC,2026-03-14T16:29:59Z,7718588240748,2991,simulate_fs:local_pair_site0_step0,0.6982024480
METRIC,2026-03-14T16:29:59Z,7718588272259,2991,simulate_fs:d_site0_step0,-0.1385664021
METRIC,2026-03-14T16:29:59Z,7718588312039,2991,simulate_fs:step_pairing_norm_step0,0.7952293027
METRIC,2026-03-14T16:29:59Z,7718588341089,2991,simulate_fs:step_energy_norm_step0,1.9282366776
MODULE_END,2026-03-14T16:30:01Z,7719893265178,2991,simulate_fs:topological_correlated_materials,1305174140
METRIC,2026-03-14T16:30:01Z,7719893328168,2991,simulate_fs:pairing_final,0.7725403046
METRIC,2026-03-14T16:30:01Z,7719893362498,2991,simulate_fs:energy_final_eV,1.9389570405
METRIC,2026-03-14T16:30:01Z,7719893392598,2991,simulate_fs:sign_ratio_final,0.2066115702
METRIC,2026-03-14T16:30:01Z,7719893421948,2991,simulate_fs:elapsed_ns,1305173440.0000000000
MODULE_START,2026-03-14T16:30:01Z,7719893458248,2991,simulate_fs,correlated_fermions_non_hubbard
METRIC,2026-03-14T16:30:01Z,7719893483718,2991,simulate_fs:sites,90.0000000000
METRIC,2026-03-14T16:30:01Z,7719893513428,2991,simulate_fs:steps,2400.0000000000
METRIC,2026-03-14T16:30:01Z,7719893542998,2991,simulate_fs:temp_K,85.0000000000
METRIC,2026-03-14T16:30:01Z,7719893572258,2991,simulate_fs:U_eV,8.6000000000
METRIC,2026-03-14T16:30:01Z,7719893601728,2991,simulate_fs:local_pair_site0_step0,0.6262988846
METRIC,2026-03-14T16:30:01Z,7719893630908,2991,simulate_fs:d_site0_step0,-0.1486360885
METRIC,2026-03-14T16:30:01Z,7719893668628,2991,simulate_fs:step_pairing_norm_step0,0.7327720151
METRIC,2026-03-14T16:30:01Z,7719893697628,2991,simulate_fs:step_energy_norm_step0,2.1173963541
MODULE_END,2026-03-14T16:30:02Z,7721156072964,2991,simulate_fs:correlated_fermions_non_hubbard,1262614716
METRIC,2026-03-14T16:30:02Z,7721156134734,2991,simulate_fs:pairing_final,0.6882656396
METRIC,2026-03-14T16:30:02Z,7721156169034,2991,simulate_fs:energy_final_eV,2.1335663523
METRIC,2026-03-14T16:30:02Z,7721156198984,2991,simulate_fs:sign_ratio_final,0.0666666667
METRIC,2026-03-14T16:30:02Z,7721156228814,2991,simulate_fs:elapsed_ns,1262614036.0000000000
MODULE_START,2026-03-14T16:30:02Z,7721156267214,2991,simulate_fs,multi_state_excited_chemistry
METRIC,2026-03-14T16:30:02Z,7721156285844,2991,simulate_fs:sites,81.0000000000
METRIC,2026-03-14T16:30:02Z,7721156315704,2991,simulate_fs:steps,2300.0000000000
METRIC,2026-03-14T16:30:02Z,7721156356904,2991,simulate_fs:temp_K,48.0000000000
METRIC,2026-03-14T16:30:02Z,7721156394154,2991,simulate_fs:U_eV,6.8000000000
METRIC,2026-03-14T16:30:02Z,7721156423654,2991,simulate_fs:local_pair_site0_step0,0.8643806537
METRIC,2026-03-14T16:30:02Z,7721156453094,2991,simulate_fs:d_site0_step0,0.0819799788
METRIC,2026-03-14T16:30:02Z,7721156496244,2991,simulate_fs:step_pairing_norm_step0,0.8303040768
METRIC,2026-03-14T16:30:02Z,7721156528074,2991,simulate_fs:step_energy_norm_step0,1.6726227632
MODULE_END,2026-03-14T16:30:03Z,7722354688795,2991,simulate_fs:multi_state_excited_chemistry,1198421581
METRIC,2026-03-14T16:30:03Z,7722354750595,2991,simulate_fs:pairing_final,0.8053383129
METRIC,2026-03-14T16:30:03Z,7722354791135,2991,simulate_fs:energy_final_eV,1.6944908035
METRIC,2026-03-14T16:30:03Z,7722354829715,2991,simulate_fs:sign_ratio_final,0.5061728395
METRIC,2026-03-14T16:30:03Z,7722354859515,2991,simulate_fs:elapsed_ns,1198420791.0000000000
MODULE_START,2026-03-14T16:30:03Z,7722354896565,2991,simulate_fs,bosonic_multimode_systems
METRIC,2026-03-14T16:30:03Z,7722354915435,2991,simulate_fs:sites,80.0000000000
METRIC,2026-03-14T16:30:03Z,7722354945385,2991,simulate_fs:steps,2200.0000000000
METRIC,2026-03-14T16:30:03Z,7722354975065,2991,simulate_fs:temp_K,110.0000000000
METRIC,2026-03-14T16:30:03Z,7722355050175,2991,simulate_fs:U_eV,5.2000000000
METRIC,2026-03-14T16:30:03Z,7722355089015,2991,simulate_fs:local_pair_site0_step0,0.5194588423
METRIC,2026-03-14T16:30:03Z,7722355118575,2991,simulate_fs:d_site0_step0,-0.1607652441
METRIC,2026-03-14T16:30:03Z,7722355155265,2991,simulate_fs:step_pairing_norm_step0,0.6308892432
METRIC,2026-03-14T16:30:03Z,7722355190785,2991,simulate_fs:step_energy_norm_step0,1.2779662271
MODULE_END,2026-03-14T16:30:04Z,7723495574940,2991,simulate_fs:bosonic_multimode_systems,1140678375
METRIC,2026-03-14T16:30:04Z,7723495644060,2991,simulate_fs:pairing_final,0.5940524035
METRIC,2026-03-14T16:30:04Z,7723495679000,2991,simulate_fs:energy_final_eV,1.2867554134
METRIC,2026-03-14T16:30:04Z,7723495709090,2991,simulate_fs:sign_ratio_final,0.5750000000
METRIC,2026-03-14T16:30:04Z,7723495738890,2991,simulate_fs:elapsed_ns,1140677645.0000000000
MODULE_START,2026-03-14T16:30:04Z,7723495776400,2991,simulate_fs,multiscale_nonlinear_field_models
METRIC,2026-03-14T16:30:04Z,7723495807150,2991,simulate_fs:sites,96.0000000000
METRIC,2026-03-14T16:30:04Z,7723495837330,2991,simulate_fs:steps,2300.0000000000
METRIC,2026-03-14T16:30:04Z,7723495867290,2991,simulate_fs:temp_K,125.0000000000
METRIC,2026-03-14T16:30:04Z,7723495896900,2991,simulate_fs:U_eV,9.2000000000
METRIC,2026-03-14T16:30:04Z,7723495926540,2991,simulate_fs:local_pair_site0_step0,0.6483806107
METRIC,2026-03-14T16:30:04Z,7723495955930,2991,simulate_fs:d_site0_step0,-0.0935885687
METRIC,2026-03-14T16:30:04Z,7723495995080,2991,simulate_fs:step_pairing_norm_step0,0.6474775582
METRIC,2026-03-14T16:30:04Z,7723496058980,2991,simulate_fs:step_energy_norm_step0,2.2678017948
MODULE_END,2026-03-14T16:30:05Z,7724716931153,2991,simulate_fs:multiscale_nonlinear_field_models,1221154753
METRIC,2026-03-14T16:30:05Z,7724716994613,2991,simulate_fs:pairing_final,0.6019195547
METRIC,2026-03-14T16:30:05Z,7724717040613,2991,simulate_fs:energy_final_eV,2.2846636559
METRIC,2026-03-14T16:30:05Z,7724717070863,2991,simulate_fs:sign_ratio_final,0.0833333333
METRIC,2026-03-14T16:30:05Z,7724717100803,2991,simulate_fs:elapsed_ns,1221153703.0000000000
MODULE_START,2026-03-14T16:30:05Z,7724717137963,2991,simulate_fs,far_from_equilibrium_kinetic_lattices
METRIC,2026-03-14T16:30:05Z,7724717156873,2991,simulate_fs:sites,99.0000000000
METRIC,2026-03-14T16:30:05Z,7724717186823,2991,simulate_fs:steps,2400.0000000000
METRIC,2026-03-14T16:30:05Z,7724717216613,2991,simulate_fs:temp_K,150.0000000000
METRIC,2026-03-14T16:30:05Z,7724717250533,2991,simulate_fs:U_eV,8.0000000000
METRIC,2026-03-14T16:30:05Z,7724717280283,2991,simulate_fs:local_pair_site0_step0,0.4130448117
METRIC,2026-03-14T16:30:05Z,7724717309793,2991,simulate_fs:d_site0_step0,0.1591558826
METRIC,2026-03-14T16:30:05Z,7724717347833,2991,simulate_fs:step_pairing_norm_step0,0.6008116794
METRIC,2026-03-14T16:30:05Z,7724717377883,2991,simulate_fs:step_energy_norm_step0,1.9740987693
MODULE_END,2026-03-14T16:30:07Z,7725964131448,2991,simulate_fs:far_from_equilibrium_kinetic_lattices,1246993485
METRIC,2026-03-14T16:30:07Z,7725964201318,2991,simulate_fs:pairing_final,0.5343439507
METRIC,2026-03-14T16:30:07Z,7725964248358,2991,simulate_fs:energy_final_eV,1.9844734487
METRIC,2026-03-14T16:30:07Z,7725964282628,2991,simulate_fs:sign_ratio_final,0.1515151515
METRIC,2026-03-14T16:30:07Z,7725964314878,2991,simulate_fs:elapsed_ns,1246992835.0000000000
MODULE_START,2026-03-14T16:30:07Z,7725964362648,2991,simulate_fs,multi_correlated_fermion_boson_networks
METRIC,2026-03-14T16:30:07Z,7725964384068,2991,simulate_fs:sites,100.0000000000
METRIC,2026-03-14T16:30:07Z,7725964421618,2991,simulate_fs:steps,2350.0000000000
METRIC,2026-03-14T16:30:07Z,7725964458248,2991,simulate_fs:temp_K,100.0000000000
METRIC,2026-03-14T16:30:07Z,7725964495048,2991,simulate_fs:U_eV,7.4000000000
METRIC,2026-03-14T16:30:07Z,7725964532478,2991,simulate_fs:local_pair_site0_step0,0.5140029187
METRIC,2026-03-14T16:30:07Z,7725964568308,2991,simulate_fs:d_site0_step0,0.1796922566
METRIC,2026-03-14T16:30:07Z,7725964615948,2991,simulate_fs:step_pairing_norm_step0,0.7146742124
METRIC,2026-03-14T16:30:07Z,7725964665278,2991,simulate_fs:step_energy_norm_step0,1.8263057437
MODULE_END,2026-03-14T16:30:08Z,7727174536360,2991,simulate_fs:multi_correlated_fermion_boson_networks,1210173712
METRIC,2026-03-14T16:30:08Z,7727174611660,2991,simulate_fs:pairing_final,0.6620529551
METRIC,2026-03-14T16:30:08Z,7727174655280,2991,simulate_fs:energy_final_eV,1.8374852910
METRIC,2026-03-14T16:30:08Z,7727174685260,2991,simulate_fs:sign_ratio_final,0.1000000000
METRIC,2026-03-14T16:30:08Z,7727174715010,2991,simulate_fs:elapsed_ns,1210172972.0000000000
MODULE_START,2026-03-14T16:30:08Z,7727174773070,2991,simulate_fs,hubbard_hts_core
METRIC,2026-03-14T16:30:08Z,7727174792550,2991,simulate_fs:sites,100.0000000000
METRIC,2026-03-14T16:30:08Z,7727174823780,2991,simulate_fs:steps,700.0000000000
METRIC,2026-03-14T16:30:08Z,7727174861770,2991,simulate_fs:temp_K,95.0000000000
METRIC,2026-03-14T16:30:08Z,7727174897900,2991,simulate_fs:U_eV,8.0000000000
METRIC,2026-03-14T16:30:08Z,7727174932870,2991,simulate_fs:local_pair_site0_step0,0.5835096733
METRIC,2026-03-14T16:30:08Z,7727174968000,2991,simulate_fs:d_site0_step0,-0.1531025933
METRIC,2026-03-14T16:30:08Z,7727175028260,2991,simulate_fs:step_pairing_norm_step0,0.7158923070
METRIC,2026-03-14T16:30:08Z,7727175065320,2991,simulate_fs:step_energy_norm_step0,1.9745923269
MODULE_END,2026-03-14T16:30:08Z,7727526367773,2991,simulate_fs:hubbard_hts_core,351594703
METRIC,2026-03-14T16:30:08Z,7727526439503,2991,simulate_fs:pairing_final,0.6814645148
METRIC,2026-03-14T16:30:08Z,7727526474783,2991,simulate_fs:energy_final_eV,1.9844821502
METRIC,2026-03-14T16:30:08Z,7727526504923,2991,simulate_fs:sign_ratio_final,-0.0600000000
METRIC,2026-03-14T16:30:08Z,7727526534773,2991,simulate_fs:elapsed_ns,351593953.0000000000
MODULE_START,2026-03-14T16:30:08Z,7727526570453,2991,simulate_fs,hubbard_hts_core
METRIC,2026-03-14T16:30:08Z,7727526589113,2991,simulate_fs:sites,100.0000000000
METRIC,2026-03-14T16:30:08Z,7727526619433,2991,simulate_fs:steps,1400.0000000000
METRIC,2026-03-14T16:30:08Z,7727526649153,2991,simulate_fs:temp_K,95.0000000000
METRIC,2026-03-14T16:30:08Z,7727526678673,2991,simulate_fs:U_eV,8.0000000000
METRIC,2026-03-14T16:30:08Z,7727526708253,2991,simulate_fs:local_pair_site0_step0,0.5835096733
METRIC,2026-03-14T16:30:08Z,7727526737733,2991,simulate_fs:d_site0_step0,-0.1531025933
METRIC,2026-03-14T16:30:08Z,7727526775803,2991,simulate_fs:step_pairing_norm_step0,0.7158923070
METRIC,2026-03-14T16:30:08Z,7727526805223,2991,simulate_fs:step_energy_norm_step0,1.9745923269
MODULE_END,2026-03-14T16:30:09Z,7728239839869,2991,simulate_fs:hubbard_hts_core,713269416
METRIC,2026-03-14T16:30:09Z,7728239905869,2991,simulate_fs:pairing_final,0.6848955228
METRIC,2026-03-14T16:30:09Z,7728239949999,2991,simulate_fs:energy_final_eV,1.9845738513
METRIC,2026-03-14T16:30:09Z,7728239993899,2991,simulate_fs:sign_ratio_final,-0.0600000000
METRIC,2026-03-14T16:30:09Z,7728240036959,2991,simulate_fs:elapsed_ns,713268616.0000000000
MODULE_START,2026-03-14T16:30:09Z,7728240072999,2991,simulate_fs,hubbard_hts_core
METRIC,2026-03-14T16:30:09Z,7728240091659,2991,simulate_fs:sites,100.0000000000
METRIC,2026-03-14T16:30:09Z,7728240121689,2991,simulate_fs:steps,2100.0000000000
METRIC,2026-03-14T16:30:09Z,7728240151309,2991,simulate_fs:temp_K,95.0000000000
METRIC,2026-03-14T16:30:09Z,7728240180819,2991,simulate_fs:U_eV,8.0000000000
METRIC,2026-03-14T16:30:09Z,7728240210319,2991,simulate_fs:local_pair_site0_step0,0.5835096733
METRIC,2026-03-14T16:30:09Z,7728240240519,2991,simulate_fs:d_site0_step0,-0.1531025933
METRIC,2026-03-14T16:30:09Z,7728240279009,2991,simulate_fs:step_pairing_norm_step0,0.7158923070
METRIC,2026-03-14T16:30:09Z,7728240308299,2991,simulate_fs:step_energy_norm_step0,1.9745923269
MODULE_END,2026-03-14T16:30:10Z,7729302763387,2991,simulate_fs:hubbard_hts_core,1062690388
METRIC,2026-03-14T16:30:10Z,7729302825647,2991,simulate_fs:pairing_final,0.6709568146
METRIC,2026-03-14T16:30:10Z,7729302860267,2991,simulate_fs:energy_final_eV,1.9847169314
METRIC,2026-03-14T16:30:10Z,7729302890507,2991,simulate_fs:sign_ratio_final,-0.0200000000
METRIC,2026-03-14T16:30:10Z,7729302929107,2991,simulate_fs:elapsed_ns,1062689488.0000000000
MODULE_START,2026-03-14T16:30:10Z,7729302973847,2991,simulate_fs,hubbard_hts_core
METRIC,2026-03-14T16:30:10Z,7729302992847,2991,simulate_fs:sites,100.0000000000
METRIC,2026-03-14T16:30:10Z,7729303034357,2991,simulate_fs:steps,2800.0000000000
METRIC,2026-03-14T16:30:10Z,7729303064527,2991,simulate_fs:temp_K,95.0000000000
METRIC,2026-03-14T16:30:10Z,7729303100517,2991,simulate_fs:U_eV,8.0000000000
METRIC,2026-03-14T16:30:10Z,7729303133347,2991,simulate_fs:local_pair_site0_step0,0.5835096733
METRIC,2026-03-14T16:30:10Z,7729303163157,2991,simulate_fs:d_site0_step0,-0.1531025933
METRIC,2026-03-14T16:30:10Z,7729303201907,2991,simulate_fs:step_pairing_norm_step0,0.7158923070
METRIC,2026-03-14T16:30:10Z,7729303231957,2991,simulate_fs:step_energy_norm_step0,1.9745923269
MODULE_END,2026-03-14T16:30:11Z,7730716972479,2991,simulate_fs:hubbard_hts_core,1413998632
METRIC,2026-03-14T16:30:11Z,7730717064969,2991,simulate_fs:pairing_final,0.6711904864
METRIC,2026-03-14T16:30:11Z,7730717099729,2991,simulate_fs:energy_final_eV,1.9847213329
METRIC,2026-03-14T16:30:11Z,7730717129789,2991,simulate_fs:sign_ratio_final,-0.0400000000
METRIC,2026-03-14T16:30:11Z,7730717169849,2991,simulate_fs:elapsed_ns,1413997822.0000000000
MODULE_START,2026-03-14T16:30:11Z,7730717213639,2991,simulate_fs,qcd_lattice_fullscale
METRIC,2026-03-14T16:30:11Z,7730717232179,2991,simulate_fs:sites,81.0000000000
METRIC,2026-03-14T16:30:11Z,7730717263809,2991,simulate_fs:steps,700.0000000000
METRIC,2026-03-14T16:30:11Z,7730717293579,2991,simulate_fs:temp_K,140.0000000000
METRIC,2026-03-14T16:30:11Z,7730717323139,2991,simulate_fs:U_eV,9.0000000000
METRIC,2026-03-14T16:30:11Z,7730717352839,2991,simulate_fs:local_pair_site0_step0,0.6571004364
METRIC,2026-03-14T16:30:11Z,7730717382199,2991,simulate_fs:d_site0_step0,0.0809842964
METRIC,2026-03-14T16:30:11Z,7730717419119,2991,simulate_fs:step_pairing_norm_step0,0.5799614517
METRIC,2026-03-14T16:30:11Z,7730717448619,2991,simulate_fs:step_energy_norm_step0,2.2115701842
MODULE_END,2026-03-14T16:30:12Z,7731068996371,2991,simulate_fs:qcd_lattice_fullscale,351782732
METRIC,2026-03-14T16:30:12Z,7731069066511,2991,simulate_fs:pairing_final,0.5259685411
METRIC,2026-03-14T16:30:12Z,7731069101191,2991,simulate_fs:energy_final_eV,2.2212889009
METRIC,2026-03-14T16:30:12Z,7731069131361,2991,simulate_fs:sign_ratio_final,-0.2839506173
METRIC,2026-03-14T16:30:12Z,7731069170111,2991,simulate_fs:elapsed_ns,351781942.0000000000
MODULE_START,2026-03-14T16:30:12Z,7731069207391,2991,simulate_fs,qcd_lattice_fullscale
METRIC,2026-03-14T16:30:12Z,7731069226571,2991,simulate_fs:sites,81.0000000000
METRIC,2026-03-14T16:30:12Z,7731069258671,2991,simulate_fs:steps,1400.0000000000
METRIC,2026-03-14T16:30:12Z,7731069289111,2991,simulate_fs:temp_K,140.0000000000
METRIC,2026-03-14T16:30:12Z,7731069318591,2991,simulate_fs:U_eV,9.0000000000
METRIC,2026-03-14T16:30:12Z,7731069351021,2991,simulate_fs:local_pair_site0_step0,0.6571004364
METRIC,2026-03-14T16:30:12Z,7731069380481,2991,simulate_fs:d_site0_step0,0.0809842964
METRIC,2026-03-14T16:30:12Z,7731069417411,2991,simulate_fs:step_pairing_norm_step0,0.5799614517
METRIC,2026-03-14T16:30:12Z,7731069452881,2991,simulate_fs:step_energy_norm_step0,2.2115701842
MODULE_END,2026-03-14T16:30:12Z,7731787336488,2991,simulate_fs:qcd_lattice_fullscale,718129097
METRIC,2026-03-14T16:30:12Z,7731787410148,2991,simulate_fs:pairing_final,0.5239388412
