problem,fullscale_energy,advanced_energy,delta_energy,delta_energy_pct,fullscale_pairing,advanced_pairing,delta_pairing,delta_pairing_pct,fullscale_elapsed_ns,advanced_elapsed_ns
bosonic_multimode_systems,1.2867385334,1.2867385334,0.0,0.0,0.8070687461,0.8070687461,0.0,0.0,1891813688,17246351
correlated_fermions_non_hubbard,2.1335664699,2.1335664699,0.0,0.0,0.8557319909,0.8557319909,0.0,0.0,1970160638,20824157
dense_nuclear_fullscale,2.7096749256,2.7096749256,0.0,0.0,0.8483174799,0.8483174799,0.0,0.0,1772306993,16286482
far_from_equilibrium_kinetic_lattices,1.984457584,1.984457584,0.0,0.0,0.7705949996,0.7705949996,0.0,0.0,1974145284,23238125
hubbard_hts_core,1.9847211096,1.9847211096,0.0,0.0,0.8466944264,0.8466944264,0.0,0.0,2300876392,27388840
multi_correlated_fermion_boson_networks,1.8374762322,1.8374762322,0.0,0.0,0.8423345314,0.8423345314,0.0,0.0,1978835999,23102385
multi_state_excited_chemistry,1.6944832679,1.6944832679,0.0,0.0,0.9138746172,0.9138746172,0.0,0.0,1878524393,18521490
multiscale_nonlinear_field_models,2.284663283,2.284663283,0.0,0.0,0.8068368999,0.8068368999,0.0,0.0,1916260160,21523336
qcd_lattice_fullscale,2.2213200331,2.2213200331,0.0,0.0,0.7624936121,0.7624936121,0.0,0.0,1803295819,17357131
quantum_chemistry_fullscale,1.6206796268,1.6206796268,0.0,0.0,0.8753243009,0.8753243009,0.0,0.0,1796937086,13510426
quantum_field_noneq,1.7379608594,1.7379608594,0.0,0.0,0.6756231511,0.6756231511,0.0,0.0,1736639875,14996994
spin_liquid_exotic,2.6034391697,2.6034391697,0.0,0.0,0.9155070662,0.9155070662,0.0,0.0,2144066471,31915905
topological_correlated_materials,1.9389457561,1.9389457561,0.0,0.0,0.897796144,0.897796144,0.0,0.0,2056398140,29416948
