problem,step,energy_norm,pairing_norm,sign_ratio,cpu_percent,mem_percent,elapsed_ns
hubbard_hts_core,700,-0.1204810517,0.9477380106,0.0022571429,0.00,0.00,357435007
hubbard_hts_core,1400,1.6551460569,0.8436960386,-0.0025285714,0.00,0.00,713002484
hubbard_hts_core,2100,3.6845537488,0.7540000699,-0.0016095238,0.00,0.00,1074354332
hubbard_hts_core,2800,4.8148229660,0.7058414526,-0.0013071429,0.00,0.00,1480880346
qcd_lattice_proxy,700,0.0014706769,0.9217083289,-0.0033156966,0.00,0.00,360140977
qcd_lattice_proxy,1400,2.2338422144,0.7708657197,0.0005467372,0.00,0.00,722054674
qcd_lattice_proxy,2100,4.3172170699,0.6615594799,0.0015990594,0.00,0.00,1089587221
qcd_lattice_proxy,2200,4.5199124263,0.6511247681,0.0019865320,0.00,0.00,1130565300
quantum_field_noneq,700,-0.1723241209,0.8920010157,-0.0058035714,0.00,0.00,351892927
quantum_field_noneq,1400,1.8449776635,0.6966341488,-0.0025892857,0.00,0.00,708528735
quantum_field_noneq,2100,3.4885635779,0.5771386328,0.0011309524,0.00,0.00,1063270012
quantum_field_noneq,2100,3.4885635779,0.5771386328,0.0011309524,0.00,0.00,1053339432
dense_nuclear_proxy,700,0.0721891886,0.9436365181,0.0014682540,0.00,0.00,351184587
dense_nuclear_proxy,1400,3.0272563579,0.8408055784,0.0012698413,0.00,0.00,778574402
dense_nuclear_proxy,2100,5.5151358258,0.7721796238,-0.0002380952,0.00,0.00,1089795742
dense_nuclear_proxy,2100,5.5151358258,0.7721796238,-0.0002380952,0.00,0.00,1054719192
quantum_chemistry_proxy,700,-0.1823922392,0.9533858123,0.0014285714,0.00,0.00,382949626
quantum_chemistry_proxy,1400,1.7103505975,0.8692916670,-0.0002806122,0.00,0.00,737618604
quantum_chemistry_proxy,2100,3.1080865295,0.8184246666,0.0019557823,0.00,0.00,1048988323
quantum_chemistry_proxy,2200,3.2358196865,0.8138100918,0.0016883117,0.00,0.00,1120344410
