problem,proxy_energy,advanced_energy,delta_energy,delta_energy_pct,proxy_pairing,advanced_pairing,delta_pairing,delta_pairing_pct,proxy_elapsed_ns,advanced_elapsed_ns
bosonic_multimode_systems,-304.9949562699,-304.9949562699,0.0,0.0,165007.6000522614,165007.6000522614,0.0,0.0,1212698621,1102087547
correlated_fermions_non_hubbard,-669.5085325396,-669.5085325396,0.0,0.0,204107.3990922444,204107.3990922444,0.0,0.0,1311769660,1197747187
dense_nuclear_proxy,-377.9383875465,-377.9383875465,0.0,0.0,142085.9996876892,142085.9996876892,0.0,0.0,1092019384,1043915382
far_from_equilibrium_kinetic_lattices,-559.3731926189,-559.3731926189,0.0,0.0,222114.7663788618,222114.7663788618,0.0,0.0,1306397291,1186693058
hubbard_hts_core,-654.9680340752,-654.9680340752,0.0,0.0,265790.2413402242,265790.2413402242,0.0,0.0,1482725381,1401038519
multi_correlated_fermion_boson_networks,-585.3280839583,-585.3280839583,0.0,0.0,226071.6480410568,226071.6480410568,0.0,0.0,1277555534,1168570380
multi_state_excited_chemistry,-809.6882804996,-809.6882804996,0.0,0.0,176774.4816255256,176774.4816255256,0.0,0.0,1265812895,1139944913
multiscale_nonlinear_field_models,-753.5240150364,-753.5240150364,0.0,0.0,206911.9510614487,206911.9510614487,0.0,0.0,1266221466,1125880134
qcd_lattice_proxy,-349.140427801,-349.140427801,0.0,0.0,166129.3124762011,166129.3124762011,0.0,0.0,1138278529,1112128615
quantum_chemistry_proxy,-826.2522209737,-826.2522209737,0.0,0.0,116412.6287042966,116412.6287042966,0.0,0.0,1289918042,1103489757
quantum_field_noneq,-636.1058387252,-636.1058387252,0.0,0.0,124113.9242825477,124113.9242825477,0.0,0.0,1080315434,1037576902
spin_liquid_exotic,-539.3187238779,-539.3187238779,0.0,0.0,297346.4893833939,297346.4893833939,0.0,0.0,1587748250,1305680238
topological_correlated_materials,-639.8375067204,-639.8375067204,0.0,0.0,286987.4431584454,286987.4431584454,0.0,0.0,1332014218,1275135290
