problem,fullscale_energy,advanced_energy,delta_energy,delta_energy_pct,fullscale_pairing,advanced_pairing,delta_pairing,delta_pairing_pct,fullscale_elapsed_ns,advanced_elapsed_ns
bosonic_multimode_systems,1.2867385334,1.2867385334,0.0,0.0,0.4035343731,0.4035343731,0.0,0.0,1765767784,17085070
correlated_fermions_non_hubbard,2.1335664699,2.1335664699,0.0,0.0,0.4278659954,0.4278659954,0.0,0.0,2006314923,21116490
dense_nuclear_fullscale,2.7096749256,2.7096749256,0.0,0.0,0.4241587399,0.4241587399,0.0,0.0,1692289653,14538370
far_from_equilibrium_kinetic_lattices,1.984457584,1.984457584,0.0,0.0,0.3852974998,0.3852974998,0.0,0.0,1938527493,22687840
hubbard_hts_core,1.9847211096,1.9847211096,0.0,0.0,0.4233472132,0.4233472132,0.0,0.0,2290809641,26911630
multi_correlated_fermion_boson_networks,1.8374762322,1.8374762322,0.0,0.0,0.4211672657,0.4211672657,0.0,0.0,1932535333,22954269
multi_state_excited_chemistry,1.6944832679,1.6944832679,0.0,0.0,0.4569373086,0.4569373086,0.0,0.0,1848067073,18146240
multiscale_nonlinear_field_models,2.284663283,2.284663283,0.0,0.0,0.40341845,0.40341845,0.0,0.0,1858353203,21236830
qcd_lattice_fullscale,2.2213200331,2.2213200331,0.0,0.0,0.381246806,0.381246806,0.0,0.0,1747786424,17215510
quantum_chemistry_fullscale,1.6206796268,1.6206796268,0.0,0.0,0.4376621505,0.4376621505,0.0,0.0,1754568983,12494540
quantum_field_noneq,1.7379608594,1.7379608594,0.0,0.0,0.3378115756,0.3378115756,0.0,0.0,1674365214,13340000
spin_liquid_exotic,2.6034391697,2.6034391697,0.0,0.0,0.4577535331,0.4577535331,0.0,0.0,2121983962,29656220
topological_correlated_materials,1.9389457561,1.9389457561,0.0,0.0,0.448898072,0.448898072,0.0,0.0,2027571562,28518390
