problem,step,energy_norm,pairing_norm,sign_ratio,cpu_percent,mem_percent,elapsed_ns
hubbard_hts_core,700,0.0198448215,0.6814645148,-0.0600000000,0.00,0.00,615377005
hubbard_hts_core,1400,0.0198457385,0.6848955228,-0.0600000000,0.00,0.00,1193216010
hubbard_hts_core,2100,0.0198471693,0.6709568146,-0.0200000000,0.00,0.00,1775139215
hubbard_hts_core,2800,0.0198472133,0.6711904864,-0.0400000000,0.00,0.00,2362681340
qcd_lattice_fullscale,700,0.0274233198,0.5259685411,-0.2839506173,0.00,0.00,587609675
qcd_lattice_fullscale,1400,0.0274236708,0.5239388412,-0.2345679012,0.00,0.00,1175409090
qcd_lattice_fullscale,2100,0.0274237041,0.5257175783,-0.2098765432,0.00,0.00,1763046595
qcd_lattice_fullscale,2200,0.0274237045,0.5247243224,-0.2098765432,0.00,0.00,1843496233
quantum_field_noneq,700,0.0271437134,0.4275341009,0.2187500000,0.00,0.00,586589655
quantum_field_noneq,1400,0.0271531747,0.4179076364,0.4062500000,0.00,0.00,1168809851
quantum_field_noneq,2100,0.0271556379,0.3935445535,0.4375000000,0.00,0.00,1759206505
quantum_field_noneq,2100,0.0271556379,0.3935445535,0.4375000000,0.00,0.00,1761337845
dense_nuclear_fullscale,700,0.0376263911,0.6838351639,-0.0555555556,0.00,0.00,582750375
dense_nuclear_fullscale,1400,0.0376342712,0.6752820410,-0.1111111111,0.00,0.00,1165239321
dense_nuclear_fullscale,2100,0.0376343637,0.6743245409,-0.1666666667,0.00,0.00,1766199865
dense_nuclear_fullscale,2100,0.0376343637,0.6743245409,-0.1666666667,0.00,0.00,1762273175
quantum_chemistry_fullscale,700,0.0289407488,0.7273012119,0.1428571429,0.00,0.00,587462645
quantum_chemistry_fullscale,1400,0.0289407676,0.7267276887,0.1428571429,0.00,0.00,1176966030
quantum_chemistry_fullscale,2100,0.0289407076,0.7265358298,0.1428571429,0.00,0.00,1769703195
quantum_chemistry_fullscale,2200,0.0289407122,0.7281906189,0.2142857143,0.00,0.00,1854825613
spin_liquid_exotic,700,0.0216941228,0.8123739764,-0.0166666667,0.00,0.00,589582465
spin_liquid_exotic,1400,0.0216947729,0.8109732189,0.0000000000,0.00,0.00,1180391520
spin_liquid_exotic,2100,0.0216951820,0.8096048186,0.0666666667,0.00,0.00,1768782935
spin_liquid_exotic,2600,0.0216953341,0.8084310399,0.0666666667,0.00,0.00,2196793344
topological_correlated_materials,700,0.0160229621,0.7745408648,0.1404958678,0.00,0.00,589779315
topological_correlated_materials,1400,0.0160240139,0.7715214670,0.2066115702,0.00,0.00,1180779120
topological_correlated_materials,2100,0.0160241767,0.7722326532,0.2231404959,0.00,0.00,1777999734
topological_correlated_materials,2500,0.0160244384,0.7725403046,0.2066115702,0.00,0.00,2102985967
correlated_fermions_non_hubbard,700,0.0237059022,0.6875019697,0.0444444444,0.00,0.00,588214975
correlated_fermions_non_hubbard,1400,0.0237063105,0.6883504811,0.0444444444,0.00,0.00,1175094170
correlated_fermions_non_hubbard,2100,0.0237062970,0.6886840110,0.0666666667,0.00,0.00,1773907564
correlated_fermions_non_hubbard,2400,0.0237062928,0.6882656396,0.0666666667,0.00,0.00,2077720227
multi_state_excited_chemistry,700,0.0209166651,0.8087672043,0.4567901235,0.00,0.00,593682855
multi_state_excited_chemistry,1400,0.0209192498,0.8045357941,0.4814814815,0.00,0.00,1183858060
multi_state_excited_chemistry,2100,0.0209194750,0.8047423154,0.4814814815,0.00,0.00,1771683165
multi_state_excited_chemistry,2300,0.0209196395,0.8053383129,0.5061728395,0.00,0.00,1943236160
bosonic_multimode_systems,700,0.0160813338,0.6075866696,0.3250000000,0.00,0.00,597949915
bosonic_multimode_systems,1400,0.0160828747,0.6068957485,0.4500000000,0.00,0.00,1188319969
bosonic_multimode_systems,2100,0.0160842292,0.5996853660,0.5500000000,0.00,0.00,1764605665
bosonic_multimode_systems,2200,0.0160844427,0.5940524035,0.5750000000,0.00,0.00,1851464393
multiscale_nonlinear_field_models,700,0.0237977322,0.6013301673,0.0833333333,0.00,0.00,589115915
multiscale_nonlinear_field_models,1400,0.0237985603,0.6020236730,0.1041666667,0.00,0.00,1233658238
multiscale_nonlinear_field_models,2100,0.0237985725,0.6016636305,0.1041666667,0.00,0.00,1828163494
multiscale_nonlinear_field_models,2300,0.0237985797,0.6019195547,0.0833333333,0.00,0.00,2017055408
far_from_equilibrium_kinetic_lattices,700,0.0200422935,0.5528156949,-0.0505050505,0.00,0.00,591098255
far_from_equilibrium_kinetic_lattices,1400,0.0200437088,0.5525314513,0.0505050505,0.00,0.00,1176413250
far_from_equilibrium_kinetic_lattices,2100,0.0200446658,0.5447938312,0.1313131313,0.00,0.00,1767151465
far_from_equilibrium_kinetic_lattices,2400,0.0200451864,0.5343439507,0.1515151515,0.00,0.00,2034077537
multi_correlated_fermion_boson_networks,700,0.0183720874,0.6689552242,-0.1000000000,0.00,0.00,597412145
multi_correlated_fermion_boson_networks,1400,0.0183735134,0.6668493660,0.0000000000,0.00,0.00,1199139929
multi_correlated_fermion_boson_networks,2100,0.0183744238,0.6663708188,0.0400000000,0.00,0.00,1775230045
multi_correlated_fermion_boson_networks,2350,0.0183748529,0.6620529551,0.1000000000,0.00,0.00,1988999979
