problem,model_id,hamiltonian_id,schema_version,lattice_size,lattice_sites,geometry,boundary_conditions,t,U,u_over_t,mu,T,dt,time_step,seed,solver_version,method
bosonic_multimode_systems,hubbard::bosonic_multimode_systems,single_band_hubbard_2d,1.1,10x8,80,,periodic,1.0,8.666667,8.666667,0.060000,NA,0.010000,0.010000,module_seed_base:0xABC000+index,hubbard_hts_research_cycle_v8_metadata,euler_explicit
correlated_fermions_non_hubbard,hubbard::correlated_fermions_non_hubbard,single_band_hubbard_2d,1.1,10x9,90,,periodic,1.0,7.166667,7.166667,0.180000,NA,0.010000,0.010000,module_seed_base:0xABC000+index,hubbard_hts_research_cycle_v8_metadata,euler_explicit
dense_nuclear_fullscale,hubbard::dense_nuclear_fullscale,single_band_hubbard_2d,1.1,9x8,72,,open,1.0,13.75,13.750000,0.300000,NA,0.010000,0.010000,module_seed_base:0xABC000+index,hubbard_hts_research_cycle_v8_metadata,euler_explicit
far_from_equilibrium_kinetic_lattices,hubbard::far_from_equilibrium_kinetic_lattices,single_band_hubbard_2d,1.1,11x9,99,,periodic,1.0,8.0,8.000000,0.090000,NA,0.010000,0.010000,module_seed_base:0xABC000+index,hubbard_hts_research_cycle_v8_metadata,euler_explicit
hubbard_hts_core,hubbard::hubbard_hts_core,single_band_hubbard_2d,1.1,10x10,100,,periodic,1.0,8.0,8.000000,0.200000,NA,0.010000,0.010000,module_seed_base:0xABC000+index,hubbard_hts_research_cycle_v8_metadata,euler_explicit
multi_correlated_fermion_boson_networks,hubbard::multi_correlated_fermion_boson_networks,single_band_hubbard_2d,1.1,10x10,100,,periodic,1.0,7.047619,7.047619,0.140000,NA,0.010000,0.010000,module_seed_base:0xABC000+index,hubbard_hts_research_cycle_v8_metadata,euler_explicit
multi_state_excited_chemistry,hubbard::multi_state_excited_chemistry,single_band_hubbard_2d,1.1,9x9,81,,periodic,1.0,4.533333,4.533333,0.220000,NA,0.010000,0.010000,module_seed_base:0xABC000+index,hubbard_hts_research_cycle_v8_metadata,euler_explicit
multiscale_nonlinear_field_models,hubbard::multiscale_nonlinear_field_models,single_band_hubbard_2d,1.1,12x8,96,,periodic,1.0,6.571429,6.571429,0.100000,NA,0.010000,0.010000,module_seed_base:0xABC000+index,hubbard_hts_research_cycle_v8_metadata,euler_explicit
qcd_lattice_fullscale,hubbard::qcd_lattice_fullscale,single_band_hubbard_2d,1.1,9x9,81,,periodic,1.0,12.857143,12.857143,0.100000,5.700000,0.010000,0.010000,module_seed_base:0xABC000+index,hubbard_hts_research_cycle_v8_metadata,euler_explicit
quantum_chemistry_fullscale,hubbard::quantum_chemistry_fullscale,single_band_hubbard_2d,1.1,8x7,56,,periodic,1.0,4.0625,4.062500,0.400000,NA,0.010000,0.010000,module_seed_base:0xABC000+index,hubbard_hts_research_cycle_v8_metadata,euler_explicit
quantum_field_noneq,hubbard::quantum_field_noneq,single_band_hubbard_2d,1.1,8x8,64,,periodic,1.0,5.384615,5.384615,0.050000,NA,0.010000,0.010000,module_seed_base:0xABC000+index,hubbard_hts_research_cycle_v8_metadata,euler_explicit
spin_liquid_exotic,hubbard::spin_liquid_exotic,single_band_hubbard_2d,1.1,12x10,120,,periodic,1.0,11.666667,11.666667,0.120000,NA,0.010000,0.010000,module_seed_base:0xABC000+index,hubbard_hts_research_cycle_v8_metadata,euler_explicit
topological_correlated_materials,hubbard::topological_correlated_materials,single_band_hubbard_2d,1.1,11x11,121,,periodic,1.0,7.090909,7.090909,0.150000,NA,0.010000,0.010000,module_seed_base:0xABC000+index,hubbard_hts_research_cycle_v8_metadata,euler_explicit
