problem,fullscale_energy,advanced_energy,delta_energy,delta_energy_pct,fullscale_pairing,advanced_pairing,delta_pairing,delta_pairing_pct,fullscale_elapsed_ns,advanced_elapsed_ns
bosonic_multimode_systems,1.2867385334,1.2867385334,0.0,0.0,0.5996257437,0.5996257437,0.0,0.0,1127869108,16051600
correlated_fermions_non_hubbard,2.1335664699,2.1335664699,0.0,0.0,0.6883312195,0.6883312195,0.0,0.0,1172681538,19258119
dense_nuclear_fullscale,2.7096749256,2.7096749256,0.0,0.0,0.6742937373,0.6742937373,0.0,0.0,1031459691,13572940
far_from_equilibrium_kinetic_lattices,1.984457584,1.984457584,0.0,0.0,0.5392279526,0.5392279526,0.0,0.0,1187440317,21368710
hubbard_hts_core,1.9847211096,1.9847211096,0.0,0.0,0.6710523185,0.6710523185,0.0,0.0,1397454983,25629210
multi_correlated_fermion_boson_networks,1.8374762322,1.8374762322,0.0,0.0,0.6641954486,0.6641954486,0.0,0.0,1181995318,21352699
multi_state_excited_chemistry,1.6944832679,1.6944832679,0.0,0.0,0.8048825384,0.8048825384,0.0,0.0,1143121338,16637560
multiscale_nonlinear_field_models,2.284663283,2.284663283,0.0,0.0,0.6022507361,0.6022507361,0.0,0.0,1156130158,19902689
qcd_lattice_fullscale,2.2213200331,2.2213200331,0.0,0.0,0.5257032147,0.5257032147,0.0,0.0,1080289719,15960380
quantum_chemistry_fullscale,1.6206796268,1.6206796268,0.0,0.0,0.7265527427,0.7265527427,0.0,0.0,1082472929,11701080
quantum_field_noneq,1.7379608594,1.7379608594,0.0,0.0,0.3942168897,0.3942168897,0.0,0.0,1045765390,12575259
spin_liquid_exotic,2.6034391697,2.6034391697,0.0,0.0,0.8084269021,0.8084269021,0.0,0.0,1309449785,27449999
topological_correlated_materials,1.9389457561,1.9389457561,0.0,0.0,0.7725687452,0.7725687452,0.0,0.0,1240805986,26736200
